# Rig calib list with one line of data per calib:
#   RIG_ID, NUM_SENSORS, REF_SENSOR_TYPE, REF_SENSOR_ID, SENSORS[] as (SENSOR_TYPE, SENSOR_ID, HAS_POSE, [QW, QX, QY, QZ, TX, TY, TZ])
# Number of rigs: 363
256 1 CAMERA 256
257 1 CAMERA 257
258 1 CAMERA 258
259 1 CAMERA 259
260 1 CAMERA 260
261 1 CAMERA 261
262 1 CAMERA 262
263 1 CAMERA 263
264 1 CAMERA 264
265 1 CAMERA 265
266 1 CAMERA 266
267 1 CAMERA 267
268 1 CAMERA 268
269 1 CAMERA 269
270 1 CAMERA 270
271 1 CAMERA 271
272 1 CAMERA 272
273 1 CAMERA 273
274 1 CAMERA 274
275 1 CAMERA 275
276 1 CAMERA 276
277 1 CAMERA 277
278 1 CAMERA 278
279 1 CAMERA 279
280 1 CAMERA 280
281 1 CAMERA 281
282 1 CAMERA 282
283 1 CAMERA 283
284 1 CAMERA 284
285 1 CAMERA 285
286 1 CAMERA 286
287 1 CAMERA 287
288 1 CAMERA 288
289 1 CAMERA 289
290 1 CAMERA 290
291 1 CAMERA 291
292 1 CAMERA 292
293 1 CAMERA 293
294 1 CAMERA 294
295 1 CAMERA 295
296 1 CAMERA 296
297 1 CAMERA 297
298 1 CAMERA 298
299 1 CAMERA 299
300 1 CAMERA 300
301 1 CAMERA 301
302 1 CAMERA 302
303 1 CAMERA 303
304 1 CAMERA 304
305 1 CAMERA 305
306 1 CAMERA 306
307 1 CAMERA 307
308 1 CAMERA 308
309 1 CAMERA 309
310 1 CAMERA 310
311 1 CAMERA 311
312 1 CAMERA 312
313 1 CAMERA 313
314 1 CAMERA 314
315 1 CAMERA 315
316 1 CAMERA 316
317 1 CAMERA 317
318 1 CAMERA 318
319 1 CAMERA 319
320 1 CAMERA 320
321 1 CAMERA 321
322 1 CAMERA 322
323 1 CAMERA 323
324 1 CAMERA 324
325 1 CAMERA 325
326 1 CAMERA 326
327 1 CAMERA 327
328 1 CAMERA 328
329 1 CAMERA 329
330 1 CAMERA 330
331 1 CAMERA 331
332 1 CAMERA 332
333 1 CAMERA 333
334 1 CAMERA 334
335 1 CAMERA 335
336 1 CAMERA 336
337 1 CAMERA 337
338 1 CAMERA 338
339 1 CAMERA 339
340 1 CAMERA 340
341 1 CAMERA 341
342 1 CAMERA 342
343 1 CAMERA 343
344 1 CAMERA 344
345 1 CAMERA 345
346 1 CAMERA 346
347 1 CAMERA 347
348 1 CAMERA 348
349 1 CAMERA 349
350 1 CAMERA 350
351 1 CAMERA 351
352 1 CAMERA 352
353 1 CAMERA 353
354 1 CAMERA 354
355 1 CAMERA 355
356 1 CAMERA 356
357 1 CAMERA 357
358 1 CAMERA 358
359 1 CAMERA 359
360 1 CAMERA 360
361 1 CAMERA 361
362 1 CAMERA 362
363 1 CAMERA 363
